Giocatore;Ruolo;Squadra_giocatore;Cartellini Gialli_per90;Cartellini Rossi_per90;Falli_per90;Fallo Subito_per90;Intercettazioni_per90;Tackle Vinti_per90;Recupero Palla_per90;Aerei Vinti_per90;Aerei Persi_per90;Minuti Giocati
Hans Nicolussi Caviglia;Cen;Venezia;0.29411764705882354;0.04201680672268907;1.638655462184874;1.050420168067227;0.8823529411764706;0.8403361344537815;4.53781512605042;0.7563025210084033;0.7983193277310924;23.8
Hassane Kamara;Dif;Udinese;0.4320987654320988;0.0617283950617284;1.234567901234568;1.0493827160493827;1.3580246913580247;1.3580246913580247;4.197530864197531;0.9259259259259259;0.5555555555555556;16.2
Henrix Mxit'aryan;Cen;Inter;0.12658227848101267;0.0;1.139240506329114;0.8860759493670887;0.7172995780590717;0.9282700421940928;4.852320675105485;0.8438818565400844;0.5485232067510548;23.7
Hernani Azevedo Júnior;Cen;Parma;0.43859649122807015;0.0;2.017543859649123;1.7543859649122806;1.3157894736842104;1.7543859649122806;4.298245614035087;1.4912280701754386;1.4035087719298245;11.4
Honest Ahanor;Dif;Genoa;0.0;0.0;0.0;4.444444444444445;0.0;1.1111111111111112;5.555555555555555;0.0;1.1111111111111112;0.9
Ibrahim Sulemana;Cen;Atalanta;0.7142857142857143;0.0;1.4285714285714286;1.4285714285714286;0.0;1.4285714285714286;5.0;2.857142857142857;1.4285714285714286;1.4
Ignace Van Der Brempt;Dif;Como;0.2542372881355932;0.0;1.5254237288135593;1.1016949152542372;1.0169491525423728;2.542372881355932;3.813559322033898;1.1016949152542372;1.0169491525423728;11.8
Iker Bravo;Att.Cen;Udinese;0.5882352941176471;0.0;1.7647058823529413;1.5686274509803924;0.0;0.9803921568627452;4.901960784313726;2.1568627450980395;4.11764705882353;5.1
Ionuț Andrei Radu;Por;Venezia;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.7142857142857143;0.0;0.0;7.0
Isak Hien;Dif;Atalanta;0.4020100502512563;0.0;1.407035175879397;0.7035175879396985;1.105527638190955;1.206030150753769;5.376884422110553;2.71356783919598;1.7085427135678393;19.9
Ismael Konate;Att.Cen;Empoli;0.0;0.0;4.285714285714286;0.0;0.0;1.4285714285714286;1.4285714285714286;4.285714285714286;5.714285714285714;0.7
Ismaël Bennacer;Cen;Milan;0.6060606060606061;0.0;1.5151515151515151;1.5151515151515151;0.9090909090909092;1.2121212121212122;5.151515151515151;0.9090909090909092;0.30303030303030304;3.3
Issa Doumbia;Cen;Venezia;0.0;0.0;1.5853658536585367;0.9756097560975611;0.853658536585366;0.853658536585366;4.024390243902439;1.829268292682927;1.707317073170732;8.2
Ivan Ilić;Cen;Torino;0.375;0.0;1.0;2.375;0.5;0.125;2.375;0.5;1.125;8.0
Ivan Provedel;Por;Lazio;0.0;0.0;0.0;0.1724137931034483;0.034482758620689655;0.0;1.5172413793103448;0.2413793103448276;0.034482758620689655;29.0
Ivan Smolčić;Dif;Como;0.17857142857142858;0.0;1.4285714285714286;0.8928571428571429;1.6071428571428572;1.25;3.7500000000000004;1.9642857142857144;1.6071428571428572;5.6
Jackson Tchatchoua;Dif.Cen;Hellas Verona;0.22058823529411764;0.03676470588235294;0.8088235294117647;0.29411764705882354;0.36764705882352944;1.0294117647058825;3.3823529411764706;0.9558823529411765;0.8823529411764706;27.2
