Giocatore;Ruolo;Squadra;Età;Minuti Giocati;Cartellini Gialli;Cartellini Rossi;Cartellini Gialli/Rossi;Falli;Fallo Subito;Fuorigioco;Cross;Intercettazioni;Tackle Vinti;Rigori Guadagnati;Rigori Concessi;Autoreti;Recupero Palla;Aerei Vinti;Aerei Persi;Percentuale Aerei Vinti;Link Giocatore
Robin Gosens;Dif;Fiorentina;30;22.9;5;0;0;19;19;5;48;15;29;0;0;0;57;59;30;66.3;https://fbref.com/it/calciatori/2d970560/Robin-Gosens
Lucas Gourna-Douath;Cen;Roma;21;1.5;2;0;0;4;2;1;2;0;2;0;0;0;4;0;1;0.0;https://fbref.com/it/calciatori/3cd7820a/Lucas-Gourna-Douath
Alberto Grassi;Cen;Empoli;30;17.9;7;0;0;19;25;1;6;25;16;1;0;0;97;18;13;58.1;https://fbref.com/it/calciatori/6cc97b6a/Alberto-Grassi
Mattéo Guendouzi;Cen;Lazio;25;29.3;5;0;0;23;27;1;17;27;15;0;1;0;135;13;15;46.4;https://fbref.com/it/calciatori/5ea8ef20/Matteo-Guendouzi
Frédéric Guilbert;Dif;Lecce;30;22.2;2;2;0;27;20;1;44;39;32;0;1;0;75;29;22;56.9;https://fbref.com/it/calciatori/5d8d7454/Frederic-Guilbert
Albert Guðmundsson;Cen.Att;Fiorentina;27;10.2;2;0;0;10;15;2;19;6;2;1;0;0;38;3;10;23.1;https://fbref.com/it/calciatori/b79858d5/Albert-Gudmundsson
Emmanuel Gyasi;Dif.Att;Empoli;31;29.1;5;0;0;37;15;12;27;8;28;0;0;1;121;33;55;37.5;https://fbref.com/it/calciatori/f9758dae/Emmanuel-Gyasi
Christian Gytkjær;Att;Venezia;34;4.0;0;0;0;7;4;4;0;0;3;0;0;0;9;10;21;32.3;https://fbref.com/it/calciatori/9250bcff/Christian-Gytkjaer
Nicolas Haas;Cen;Empoli;29;3.2;1;0;0;11;3;0;0;4;8;0;0;0;19;3;5;37.5;https://fbref.com/it/calciatori/fa449bba/Nicolas-Haas
Saad El Haddad;Cen;Venezia;19;0.3;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0.0;https://fbref.com/it/calciatori/7b12dccc/Saad-El-Haddad
Antoine Hainaut;Dif.Cen;Parma;23;9.1;3;0;0;9;12;1;17;12;11;0;0;0;40;23;9;71.9;https://fbref.com/it/calciatori/6503f220/Antoine-Hainaut
Mohamed Haj;Cen;Parma;20;5.0;4;0;0;6;11;0;7;4;1;0;0;0;15;6;6;50.0;https://fbref.com/it/calciatori/eb7dc619/Mohamed-Haj
Ridgeciano Haps;Dif;Venezia;31;11.6;3;0;0;11;12;0;22;6;10;0;1;0;39;8;13;38.1;https://fbref.com/it/calciatori/c8d7131c/Ridgeciano-Haps
Abdou Harroui;Cen.Att;Hellas Verona;27;5.1;1;0;0;10;3;0;9;2;6;0;0;0;22;8;7;53.3;https://fbref.com/it/calciatori/65fd099c/Abdou-Harroui
Liam Henderson;Cen;Empoli;28;20.6;9;0;0;65;18;2;66;13;17;0;0;0;66;9;18;33.3;https://fbref.com/it/calciatori/d7918b13/Liam-Henderson
Mario Hermoso;Dif;Roma;29;2.8;2;1;1;7;1;0;3;4;1;0;0;0;11;3;5;37.5;https://fbref.com/it/calciatori/555f3a0b/Mario-Hermoso
Theo Hernández;Dif;Milan;27;24.0;3;1;0;13;38;2;92;14;20;1;1;0;109;28;12;70.0;https://fbref.com/it/calciatori/d4c9725f/Theo-Hernandez
Hernani Azevedo Júnior;Cen;Parma;31;11.4;5;0;0;23;20;1;21;15;20;0;0;0;49;17;16;51.5;https://fbref.com/it/calciatori/6f5ead86/Hernani-Azevedo-Junior
Isak Hien;Dif;Atalanta;26;19.9;8;0;0;28;14;0;1;22;24;0;0;0;107;54;34;61.4;https://fbref.com/it/calciatori/12806697/Isak-Hien
Emil Holm;Dif;Bologna;24;9.8;3;0;0;13;20;1;23;8;18;1;0;0;37;22;9;71.0;https://fbref.com/it/calciatori/c2357b65/Emil-Holm
Mats Hummels;Dif;Roma;36;9.7;1;0;0;9;3;0;2;23;12;0;0;1;39;22;13;62.9;https://fbref.com/it/calciatori/05d548d8/Mats-Hummels
Elseid Hisaj;Dif;Lazio;31;3.1;0;0;0;2;1;0;8;4;5;0;0;0;15;5;4;55.6;https://fbref.com/it/calciatori/2f3452eb/Elseid-Hisaj
Arijon Ibrahimović;Cen;Lazio;19;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;https://fbref.com/it/calciatori/f5c4fd91/Arijon-Ibrahimovic
Jay Idzes;Dif;Venezia;24;27.7;4;0;0;40;10;1;6;24;25;0;2;0;78;49;60;45.0;https://fbref.com/it/calciatori/a54ef587/Jay-Idzes
Jonathan Ikone;Att.Cen;Como;26;1.5;0;0;0;1;3;1;0;0;6;0;0;0;4;1;1;50.0;https://fbref.com/it/calciatori/42eaa028/Jonathan-Ikone
Jonathan Ikone;Att.Cen;Fiorentina;26;3.7;0;0;0;3;7;0;1;1;2;0;0;0;19;0;6;0.0;https://fbref.com/it/calciatori/42eaa028/Jonathan-Ikone
Ivan Ilić;Cen;Torino;24;8.0;3;0;0;8;19;1;25;4;1;0;0;0;19;4;9;30.8;https://fbref.com/it/calciatori/bb376bed/Ivan-Ilic
Samuel Iling-Junior;Att.Cen;Bologna;21;1.3;0;0;0;2;1;0;9;2;2;0;0;0;8;0;3;0.0;https://fbref.com/it/calciatori/ba492306/Samuel-Iling-Junior
Alessio Iovine;Dif.Att;Como;34;4.2;2;0;0;5;6;0;15;3;2;0;0;0;16;2;7;22.2;https://fbref.com/it/calciatori/083d7173/Alessio-Iovine
Gustav Isaksen;Att;Lazio;23;20.3;4;0;0;21;38;2;97;8;8;1;0;0;54;13;23;36.1;https://fbref.com/it/calciatori/5715bb71/Gustav-Isaksen
Ardian Ismajli;Dif;Empoli;28;22.9;1;0;0;15;20;0;0;46;19;0;0;0;65;69;46;60.0;https://fbref.com/it/calciatori/6b635f5c/Ardian-Ismajli
Armando Izzo;Dif;Monza;33;25.4;12;0;0;62;44;0;7;42;15;0;0;0;81;46;61;43.0;https://fbref.com/it/calciatori/89976232/Armando-Izzo
Fellipe Jack;Dif;Como;19;1.9;2;0;0;5;1;0;0;4;4;0;0;0;4;4;3;57.1;https://fbref.com/it/calciatori/cace4967/Fellipe-Jack
Ali Jasim;Att.Dif;Como;21;0.1;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;100.0;https://fbref.com/it/calciatori/1a927a6f/Ali-Jasim
Gaby Jean;Dif;Lecce;25;15.3;0;0;0;14;13;0;1;9;7;0;1;0;55;41;24;63.1;https://fbref.com/it/calciatori/5f130a19/Gaby-Jean
Juan Guilherme Nunes Jesus;Dif;Napoli;33;10.1;2;0;0;13;1;0;0;7;11;0;0;0;28;20;8;71.4;https://fbref.com/it/calciatori/79083382/Juan-Guilherme-Nunes-Jesus
Alejandro Jiménez;Dif.Att;Milan;19;9.1;5;0;0;9;12;5;29;9;9;0;0;0;46;8;12;40.0;https://fbref.com/it/calciatori/faa13947/Alejandro-Jimenez
Þórir Jóhann Helgason;Cen;Lecce;24;8.5;0;0;0;8;9;1;40;4;4;0;0;0;32;11;10;52.4;https://fbref.com/it/calciatori/dc765618/Thorir-Johann-Helgason
Jesse Joronen;Por;Venezia;32;7.8;0;0;0;1;0;0;0;0;0;0;1;1;11;3;0;100.0;https://fbref.com/it/calciatori/7f66ea09/Jesse-Joronen
Luka Jović;Att.Cen;Milan;27;1.5;1;0;0;3;3;0;2;1;0;0;0;0;2;3;5;37.5;https://fbref.com/it/calciatori/4d8cd038/Luka-Jovic
Mohamed Kaba;Cen;Lecce;23;2.8;1;0;0;5;8;0;1;2;7;0;0;0;13;6;6;50.0;https://fbref.com/it/calciatori/517cfb19/Mohamed-Kaba
Christian Kabasele;Dif;Udinese;34;10.2;0;0;0;18;12;0;2;10;7;0;2;0;29;29;17;63.0;https://fbref.com/it/calciatori/914ab9a1/Christian-Kabasele
Pierre Kalulu;Dif;Juventus;24;20.3;2;0;0;17;13;1;11;14;18;0;1;0;73;20;38;34.5;https://fbref.com/it/calciatori/85f7d1be/Pierre-Kalulu
Hassane Kamara;Dif;Udinese;31;16.2;7;1;1;20;17;0;73;22;22;0;0;0;68;15;9;62.5;https://fbref.com/it/calciatori/19a12bed/Hassane-Kamara
Yann Karamoh;Cen.Att;Torino;26;10.5;2;0;0;11;12;4;22;3;2;0;0;0;38;5;8;38.5;https://fbref.com/it/calciatori/8b66d9cc/Yann-Karamoh
Jesper Karlsson;Att;Bologna;26;3.3;1;0;0;6;4;1;4;0;0;0;0;0;8;2;4;33.3;https://fbref.com/it/calciatori/7952d0c2/Jesper-Karlsson
Jesper Karlsson;Att;Lecce;26;3.6;2;0;0;2;0;0;20;0;1;0;0;0;10;1;5;16.7;https://fbref.com/it/calciatori/7952d0c2/Jesper-Karlsson
Jesper Karlström;Cen;Udinese;29;27.4;6;0;0;26;19;1;11;29;26;0;0;0;119;26;23;53.1;https://fbref.com/it/calciatori/e0a1f4eb/Jesper-Karlstrom
Lior Kasa;Cen.Att;Genoa;19;1.7;2;0;0;2;3;0;2;2;3;0;0;0;11;1;3;25.0;https://fbref.com/it/calciatori/7987ef17/Lior-Kasa
Grigoris Kastanos;Cen.Att;Hellas Verona;27;8.9;3;0;0;14;16;1;16;7;15;0;0;0;43;14;14;50.0;https://fbref.com/it/calciatori/2a82aa85/Grigoris-Kastanos
Michael Kayode;Dif.Att;Fiorentina;20;1.4;0;0;0;1;2;0;6;2;1;0;0;0;6;2;0;100.0;https://fbref.com/it/calciatori/e19660a8/Michael-Kayode
Moise Kean;Att;Fiorentina;25;25.0;5;0;0;33;45;47;9;3;5;0;1;0;46;42;40;51.2;https://fbref.com/it/calciatori/3d50bcdb/Moise-Kean
Mandela Keita;Cen;Parma;22;13.2;6;1;1;19;25;1;0;10;18;0;1;0;65;11;10;52.4;https://fbref.com/it/calciatori/f5692b25/Mandela-Keita
Lloyd Kelly;Dif;Juventus;26;5.3;1;0;0;8;3;0;1;1;6;0;0;0;24;18;16;52.9;https://fbref.com/it/calciatori/f31def1e/Lloyd-Kelly
Marc-Oliver Kempf;Dif;Como;30;22.1;5;1;1;15;14;0;4;29;16;0;0;0;80;77;32;70.6;https://fbref.com/it/calciatori/815c314f/Marc-Oliver-Kempf
Kialonda;Dif;Lecce;27;16.0;3;0;0;6;13;0;2;18;9;0;1;0;38;56;26;68.3;https://fbref.com/it/calciatori/34e4dc3b/Kialonda
Magnus Kofod Andersen;Cen;Venezia;25;7.7;1;0;0;7;5;0;16;6;4;0;0;0;31;8;7;53.3;https://fbref.com/it/calciatori/a4731ebc/Magnus-Kofod-Andersen
Sead Kolašinac;Dif;Atalanta;31;19.7;6;0;0;36;19;2;8;22;25;0;0;1;128;33;25;56.9;https://fbref.com/it/calciatori/3935e52e/Sead-Kolasinac
Randal Kolo Muani;Att;Juventus;26;6.9;0;0;0;16;11;4;6;0;3;0;0;0;19;6;13;31.6;https://fbref.com/it/calciatori/c0b3669f/Randal-Kolo-Muani
Ismael Konate;Att.Cen;Empoli;19;0.7;0;0;0;3;0;0;1;0;1;0;0;0;1;3;4;42.9;https://fbref.com/it/calciatori/351ab035/Ismael-Konate
Manu Koné;Cen;Roma;23;20.9;5;0;0;23;62;2;2;13;19;0;1;0;86;13;26;33.3;https://fbref.com/it/calciatori/86574238/Manu-Kone
Teun Koopmeiners;Cen.Att;Juventus;27;21.2;3;0;0;32;9;3;110;8;16;0;0;0;48;20;21;48.8;https://fbref.com/it/calciatori/a26fb8aa/Teun-Koopmeiners
Odilon Kossounou;Dif;Atalanta;24;8.0;1;0;0;12;5;0;3;7;7;0;0;0;45;16;7;69.6;https://fbref.com/it/calciatori/1f3afdcb/Odilon-Kossounou
Christian Kouamé;Att.Cen;Fiorentina;27;6.9;1;0;0;13;14;2;6;2;8;0;0;0;20;29;19;60.4;https://fbref.com/it/calciatori/58e933d2/Christian-Kouame
Christian Kouamé;Att;Empoli;27;4.9;0;0;0;7;13;2;2;0;4;0;0;0;14;41;24;63.1;https://fbref.com/it/calciatori/58e933d2/Christian-Kouame
Viktor Kovalenko;Cen.Dif;Empoli;29;0.6;0;0;0;1;2;0;0;0;1;0;0;0;3;2;0;100.0;https://fbref.com/it/calciatori/9d60028d/Viktor-Kovalenko
Mateusz Kowalski;Cen;Parma;19;0.6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0.0;https://fbref.com/it/calciatori/d2bb908c/Mateusz-Kowalski
Thomas Kristensen;Dif;Udinese;23;14.5;4;0;0;19;2;1;7;14;16;0;1;0;49;45;24;65.2;https://fbref.com/it/calciatori/fadf9a05/Thomas-Kristensen
Nikola Krstović;Att;Lecce;24;27.9;4;0;0;44;44;15;6;7;7;0;0;0;61;74;102;42.0;https://fbref.com/it/calciatori/473803c9/Nikola-Krstovic
Khvicha Kvaratskhelia;Att.Cen;Napoli;24;13.1;1;0;0;12;33;0;51;4;9;0;0;0;45;4;5;44.4;https://fbref.com/it/calciatori/dea88efd/Khvicha-Kvaratskhelia
Giorgos Kyriakopoulos;Dif;Monza;29;25.2;4;0;0;22;32;4;144;18;24;0;1;1;72;21;27;43.8;https://fbref.com/it/calciatori/0a483542/Giorgos-Kyriakopoulos
Mathis Lambourde;Att.Cen;Hellas Verona;19;0.6;1;0;0;3;0;0;1;0;1;0;0;0;2;1;3;25.0;https://fbref.com/it/calciatori/0da3d7ab/Mathis-Lambourde
Gianluca Lapadula;Att.Cen;Cagliari;35;3.4;1;0;0;9;1;1;3;0;0;0;0;0;5;11;8;57.9;https://fbref.com/it/calciatori/2ead2809/Gianluca-Lapadula
Valentino Lazaro;Dif.Att;Torino;29;22.6;4;0;0;26;13;2;127;10;11;0;1;0;82;14;24;36.8;https://fbref.com/it/calciatori/016ff750/Valentino-Lazaro
Darko Lazović;Dif.Att;Hellas Verona;34;15.5;0;0;0;9;5;4;70;11;9;1;0;0;54;6;13;31.6;https://fbref.com/it/calciatori/5128bde4/Darko-Lazovic
Manuel Lazzari;Dif;Lazio;31;13.8;2;0;0;10;24;1;85;7;13;0;1;0;42;5;13;27.8;https://fbref.com/it/calciatori/02caf6e0/Manuel-Lazzari
Enzo Le Fée;Cen;Roma;25;3.5;1;0;0;6;5;0;7;5;4;0;0;0;22;2;4;33.3;https://fbref.com/it/calciatori/6f806d99/Enzo-Le-Fee
Nicola Leali;Por;Genoa;32;23.0;1;0;0;1;5;0;0;0;0;0;0;1;22;5;0;100.0;https://fbref.com/it/calciatori/5f9970a0/Nicola-Leali
Rafael Leão;Att;Milan;25;21.2;3;0;0;13;42;6;52;6;8;1;0;0;51;22;14;61.1;https://fbref.com/it/calciatori/20730eae/Rafael-Leao
Stefan Lekovic;Dif;Monza;21;3.6;0;0;0;5;3;0;0;6;4;0;0;1;18;4;5;44.4;https://fbref.com/it/calciatori/d633fd46/Stefan-Lekovic
Nunzio Lella;Cen;Venezia;24;0.1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;;https://fbref.com/it/calciatori/c149e8a6/Nunzio-Lella
Giovanni Leoni;Dif;Parma;18;7.5;1;1;0;4;4;0;2;11;2;0;0;0;21;9;4;69.2;https://fbref.com/it/calciatori/570888ce/Giovanni-Leoni
Ben Lhassine Kone;Cen;Como;25;0.6;1;0;0;1;1;0;0;1;2;0;0;0;7;0;1;0.0;https://fbref.com/it/calciatori/7452c7a8/Ben-Lhassine-Kone
Mattia Liberali;Cen;Milan;17;0.7;0;0;0;1;0;0;2;0;1;0;0;0;4;1;0;100.0;https://fbref.com/it/calciatori/775f4a87/Mattia-Liberali
Karol Linetty;Cen;Torino;30;14.2;6;0;0;30;11;0;4;12;21;0;0;0;54;6;11;35.3;https://fbref.com/it/calciatori/d023d70f/Karol-Linetty
Dailon Livramento;Att.Cen;Hellas Verona;23;8.8;1;1;0;14;5;8;16;2;8;0;0;0;17;26;42;38.2;https://fbref.com/it/calciatori/c115db1e/Dailon-Livramento
Stanislav Lobotka;Cen;Napoli;30;24.6;3;0;0;20;28;0;2;20;26;0;1;0;147;5;5;50.0;https://fbref.com/it/calciatori/e1cbb531/Stanislav-Lobotka
Manuel Locatelli;Cen;Juventus;27;23.7;6;0;0;38;16;1;15;20;31;0;1;0;106;28;16;63.6;https://fbref.com/it/calciatori/a8a874f1/Manuel-Locatelli
Ruben Loftus-Cheek;Cen;Milan;29;7.7;1;0;0;13;20;0;5;2;7;0;0;0;27;11;7;61.1;https://fbref.com/it/calciatori/e97fd090/Ruben-Loftus-Cheek
Ademola Lookman;Att.Cen;Atalanta;27;18.9;4;0;0;25;16;25;85;2;13;0;0;0;51;11;11;50.0;https://fbref.com/it/calciatori/7c104bb7/Ademola-Lookman
Sandi Lovric;Cen;Udinese;27;21.8;4;0;0;44;30;0;74;20;26;1;0;0;104;1;15;6.3;https://fbref.com/it/calciatori/966eea58/Sandi-Lovric
Lorenzo Lucca;Att;Udinese;24;22.9;8;0;0;55;45;14;5;5;6;0;0;0;40;49;61;44.5;https://fbref.com/it/calciatori/83c06f3a/Lorenzo-Lucca
Jhon Lucumí;Dif;Bologna;26;21.9;5;1;0;17;7;0;3;19;19;0;1;0;131;32;30;51.6;https://fbref.com/it/calciatori/80490d7f/Jhon-Lucumi
José Luis Palomino;Dif;Cagliari;35;6.3;1;0;0;3;1;0;0;10;7;0;1;0;26;6;8;42.9;https://fbref.com/it/calciatori/921f6058/Jose-Luis-Palomino
Douglas Luiz;Cen;Juventus;26;5.4;2;0;0;12;6;0;23;2;8;0;1;0;28;5;3;62.5;https://fbref.com/it/calciatori/6f7d826d/Douglas-Luiz
Romelu Lukaku;Att;Napoli;31;24.2;2;0;0;35;32;17;2;0;2;0;0;0;29;30;37;44.8;https://fbref.com/it/calciatori/5eae500a/Romelu-Lukaku
Sebastiano Luperto;Dif;Cagliari;28;30.0;3;0;0;19;15;1;7;25;22;0;1;0;114;52;45;53.6;https://fbref.com/it/calciatori/997fff07/Sebastiano-Luperto
Zito Luvumbo;Att.Cen;Cagliari;23;12.6;2;0;0;35;35;7;48;1;4;0;0;0;33;6;10;37.5;https://fbref.com/it/calciatori/b09e0873/Zito-Luvumbo
Charalampos Lykogiannīs;Dif;Bologna;31;9.6;2;0;0;7;7;2;82;9;10;0;0;0;34;18;12;60.0;https://fbref.com/it/calciatori/5efc5389/Charalampos-Lykogiannis
Mathias Løvik;Dif.Att;Parma;21;0.9;0;0;0;2;0;0;3;2;0;0;0;0;2;2;2;50.0;https://fbref.com/it/calciatori/f17aa65c/Mathias-Lovik
Giangiacomo Magnani;Dif;Hellas Verona;29;11.8;2;0;0;8;11;0;2;17;15;0;0;0;38;29;18;61.7;https://fbref.com/it/calciatori/cce9f582/Giangiacomo-Magnani
Mike Maignan;Por;Milan;29;29.0;1;0;0;1;5;0;0;0;0;0;1;0;54;4;0;100.0;https://fbref.com/it/calciatori/fcb38f57/Mike-Maignan
Antoine Makoumbou;Cen;Cagliari;26;18.9;3;1;1;23;14;0;6;12;18;0;1;0;89;3;15;16.7;https://fbref.com/it/calciatori/f37f3522/Antoine-Makoumbou
Daniel Maldini;Cen.Att;Monza;23;14.5;5;0;0;15;39;2;38;4;6;0;0;0;52;22;27;44.9;https://fbref.com/it/calciatori/801831fe/Daniel-Maldini
Daniel Maldini;Att.Cen;Atalanta;23;0.9;0;0;0;1;5;0;1;0;1;0;0;0;3;2;0;100.0;https://fbref.com/it/calciatori/801831fe/Daniel-Maldini
Youssef Maleh;Cen;Empoli;26;16.8;5;1;1;32;29;1;16;16;23;0;0;0;96;9;18;33.3;https://fbref.com/it/calciatori/4c8845f7/Youssef-Maleh
Ruslan Malinovs'kyj;Cen.Att;Genoa;31;3.5;2;0;0;9;4;0;3;1;8;0;0;0;13;6;6;50.0;https://fbref.com/it/calciatori/48d5bd33/Ruslan-Malinovskyj
Dennis Man;Att.Cen;Parma;26;21.1;0;0;0;8;17;4;33;8;6;0;0;0;68;9;17;34.6;https://fbref.com/it/calciatori/2079b3cc/Dennis-Man
Gianluca Mancini;Dif;Roma;28;26.9;5;0;0;36;25;6;30;32;19;0;0;0;80;44;24;64.7;https://fbref.com/it/calciatori/5aa53281/Gianluca-Mancini
Christos Mandas;Por;Lazio;23;1.0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;100.0;https://fbref.com/it/calciatori/f794e9ab/Christos-Mandas
Rolando Mandragora;Cen;Fiorentina;27;13.8;5;0;0;15;17;1;18;12;9;0;0;0;36;12;11;52.2;https://fbref.com/it/calciatori/c7259b83/Rolando-Mandragora
Alberto Manzoni;Cen;Atalanta;19;0.1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;100.0;https://fbref.com/it/calciatori/08cda374/Alberto-Manzoni
Alessandro Marcandalli;Dif;Genoa;22;0.5;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;100.0;https://fbref.com/it/calciatori/d3225ad1/Alessandro-Marcandalli
Alessandro Marcandalli;Dif;Venezia;22;1.3;0;0;0;3;0;0;0;1;2;0;1;0;10;7;4;63.6;https://fbref.com/it/calciatori/d3225ad1/Alessandro-Marcandalli
Filip Marchwiński;Cen;Lecce;23;0.2;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;;https://fbref.com/it/calciatori/55a88fd9/Filip-Marchwinski
Pablo Marí;Dif;Monza;31;18.1;4;1;1;27;5;0;1;37;15;0;1;0;59;40;21;65.6;https://fbref.com/it/calciatori/aa54ec6f/Pablo-Mari
Pablo Marí;Dif;Fiorentina;31;4.2;1;0;0;2;1;0;0;9;2;0;0;0;12;14;4;77.8;https://fbref.com/it/calciatori/aa54ec6f/Pablo-Mari
Luca Marianucci;Dif;Empoli;20;6.4;0;1;0;10;2;0;4;7;8;0;0;0;25;17;19;47.2;https://fbref.com/it/calciatori/64e6778a/Luca-Marianucci
Mirko Marić;Att.Cen;Monza;29;1.2;0;0;0;2;2;0;2;1;0;0;0;0;4;6;12;33.3;https://fbref.com/it/calciatori/78338347/Mirko-Maric
Mirko Marić;Att;Venezia;29;3.5;0;0;0;2;4;3;3;1;2;0;0;0;11;8;21;27.6;https://fbref.com/it/calciatori/78338347/Mirko-Maric
Rafa Marín;Dif;Napoli;22;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;https://fbref.com/it/calciatori/3239a8ed/Rafa-Marin
Răzvan Marin;Cen;Cagliari;28;12.7;4;0;0;23;10;0;61;2;12;0;0;0;61;9;15;37.5;https://fbref.com/it/calciatori/7fac99d4/Razvan-Marin
Guillermo Maripán;Dif;Torino;30;18.0;1;1;0;19;5;1;1;25;15;0;0;0;58;51;35;59.3;https://fbref.com/it/calciatori/d9764034/Guillermo-Maripan
Aarón Caricol;Dif;Genoa;27;27.2;5;0;0;31;25;3;217;16;40;0;1;0;117;18;26;40.9;https://fbref.com/it/calciatori/2f3e911a/Aaron-Caricol
Josep Martinez;Por;Inter;26;3.0;0;0;0;0;1;0;0;0;0;0;0;0;2;1;0;100.0;https://fbref.com/it/calciatori/11d8aff0/Josep-Martinez
Lautaro Martínez;Att;Inter;27;25.1;0;0;0;33;39;19;9;9;15;0;0;0;68;30;36;45.5;https://fbref.com/it/calciatori/f7036e1c/Lautaro-Martinez
Lucas Martínez Quarta;Dif;Fiorentina;28;3.9;1;0;0;8;2;0;0;3;7;0;0;0;13;12;10;54.5;https://fbref.com/it/calciatori/3ec3c1c9/Lucas-Martinez-Quarta
Kevin Martins;Cen.Dif;Monza;20;2.0;1;0;0;3;4;0;6;1;4;0;0;0;12;2;1;66.7;https://fbref.com/it/calciatori/c1451401/Kevin-Martins
Adam Marušić;Dif;Lazio;32;20.3;1;0;0;11;12;2;38;14;17;0;0;1;65;25;18;58.1;https://fbref.com/it/calciatori/d4535821/Adam-Marusic
Adam Masina;Dif;Torino;31;16.6;5;0;0;18;15;2;14;19;14;1;0;0;64;54;18;75.0;https://fbref.com/it/calciatori/de0f152c/Adam-Masina
Patrizio Masini;Cen;Genoa;24;9.6;2;0;0;22;32;0;17;8;20;0;0;0;52;17;12;58.6;https://fbref.com/it/calciatori/151354b8/Patrizio-Masini
Alan Matturro;Dif;Genoa;20;9.9;2;0;0;9;5;2;8;14;6;0;1;0;26;16;16;50.0;https://fbref.com/it/calciatori/547c0119/Alan-Matturro
Luca Mazzitelli;Cen;Como;29;3.7;1;0;0;9;4;0;12;3;6;0;0;0;14;2;6;25.0;https://fbref.com/it/calciatori/dc61b402/Luca-Mazzitelli
Pasquale Mazzocchi;Dif.Att;Napoli;29;6.9;2;0;0;7;5;1;12;4;6;0;0;0;27;3;6;33.3;https://fbref.com/it/calciatori/eb0ec070/Pasquale-Mazzocchi
Samuel Mbangula;Att;Juventus;21;7.8;1;0;0;6;14;0;17;3;10;1;0;0;33;2;7;22.2;https://fbref.com/it/calciatori/3e25e70c/Samuel-Mbangula
Weston McKennie;Cen.Dif;Juventus;26;19.3;2;0;0;24;13;0;13;12;9;0;1;0;83;21;21;50.0;https://fbref.com/it/calciatori/01c3aff5/Weston-McKennie
Scott McTominay;Cen;Napoli;28;24.9;3;0;0;36;43;4;5;19;20;1;0;0;108;43;32;57.3;https://fbref.com/it/calciatori/d93c2511/Scott-McTominay
Filippo Melegoni;Cen.Att;Genoa;26;1.0;0;0;0;0;1;0;2;0;1;0;0;0;2;1;0;100.0;https://fbref.com/it/calciatori/6604165d/Filippo-Melegoni
Alex Meret;Por;Napoli;28;26.4;0;0;0;1;3;0;0;0;0;0;1;0;44;5;0;100.0;https://fbref.com/it/calciatori/9413b19f/Alex-Meret
Junior Messias;Cen.Att;Genoa;33;6.0;1;0;0;3;10;0;14;5;5;0;0;0;22;11;17;39.3;https://fbref.com/it/calciatori/f49c4ae9/Junior-Messias
Valentin Mihaila;Att.Cen;Parma;25;14.3;2;0;0;17;20;1;33;8;15;0;1;0;39;13;27;32.5;https://fbref.com/it/calciatori/81a4c239/Valentin-Mihaila
Vanja Milinković-Savić;Por;Torino;28;29.0;2;0;0;0;7;0;0;0;0;0;0;0;46;9;1;90.0;https://fbref.com/it/calciatori/9fa26bc2/Vanja-Milinkovic-Savic
Yerry Mina;Dif;Cagliari;30;24.1;6;1;1;34;46;2;1;29;24;0;0;0;132;89;41;68.5;https://fbref.com/it/calciatori/6d5701f2/Yerry-Mina
Juan Miranda;Dif;Bologna;25;19.6;3;0;0;20;24;1;163;20;17;0;0;0;75;28;28;50.0;https://fbref.com/it/calciatori/ead61f73/Juan-Miranda
Fabio Miretti;Cen.Att;Genoa;21;17.8;2;0;0;23;47;2;59;7;15;0;0;0;80;10;23;30.3;https://fbref.com/it/calciatori/34693494/Fabio-Miretti
Henrix Mxit'aryan;Cen;Inter;36;23.7;3;0;0;27;21;5;19;17;22;0;0;0;115;20;13;60.6;https://fbref.com/it/calciatori/dd0daf32/Henrix-Mxitaryan
Rui Modesto;Dif;Udinese;25;3.1;1;0;0;5;3;1;11;5;5;0;0;0;14;6;6;50.0;https://fbref.com/it/calciatori/4f9c2d8c/Rui-Modesto
Lorenzo Montipò;Por;Hellas Verona;29;29.0;0;0;0;0;7;0;0;0;0;0;0;1;22;6;1;85.7;https://fbref.com/it/calciatori/c1d95617/Lorenzo-Montipo
Álvaro Morata;Att.Cen;Milan;32;12.2;5;0;0;25;18;11;13;5;10;0;0;0;31;14;20;41.2;https://fbref.com/it/calciatori/129af0db/Alvaro-Morata
Alberto Moreno Pérez;Dif;Como;32;15.7;4;0;0;14;12;1;43;12;10;0;0;0;58;8;18;30.8;https://fbref.com/it/calciatori/11b9265b/Alberto-Moreno-Perez
Matias Moreno;Dif;Fiorentina;21;1.6;0;0;0;4;0;0;2;1;8;0;1;0;5;3;4;42.9;https://fbref.com/it/calciatori/4637e608/Matias-Moreno
