Giornata;Giorno della Settimana;Data;Ora Inizio;Squadra di Casa;xG Casa;Risultato;xG Trasferta;Squadra Trasferta;Spettatori;Stadio;Arbitro;Link Report
15;Ven;06-12-2024;20:45;Atalanta;2.1;2–1;0.7;Milan;22.606;Gewiss Stadium;Federico La Penna;https://fbref.com/it/partite/3c291cde/Atalanta-Milan-6-Dicembre-2024-Serie-A
15;Sab;07-12-2024;15:00;Genoa;0.5;0–0;0.6;Torino;32.363;Stadio Comunale Luigi Ferraris;Livio Marinelli;https://fbref.com/it/partite/5209f745/Genoa-Torino-7-Dicembre-2024-Serie-A
15;Sab;07-12-2024;18:00;Juventus;1.0;2–2;0.9;Bologna;40.748;Allianz Stadium;Matteo Marchetti;https://fbref.com/it/partite/f335a456/Juventus-Bologna-7-Dicembre-2024-Serie-A
15;Sab;07-12-2024;20:45;Roma;1.8;4–1;0.9;Lecce;58.213;Stadio Olimpico;Daniele Chiffi;https://fbref.com/it/partite/2f4aac74/Roma-Lecce-7-Dicembre-2024-Serie-A
15;Dom;08-12-2024;12:30;Fiorentina;0.3;1–0;0.8;Cagliari;19.851;Stadio Artemio Franchi;Marco Piccinini;https://fbref.com/it/partite/a3f7f065/Fiorentina-Cagliari-8-Dicembre-2024-Serie-A
15;Dom;08-12-2024;15:00;Hellas Verona;0.9;1–4;1.3;Empoli;23.949;Stadio Marc'Antonio Bentegodi;Marco Di Bello;https://fbref.com/it/partite/52d351e8/Hellas-Verona-Empoli-8-Dicembre-2024-Serie-A
15;Dom;08-12-2024;18:00;Venezia;0.3;2–2;1.0;Como;8.026;Stadio Pier Luigi Penzo;Daniele Doveri;https://fbref.com/it/partite/4171bb56/Venezia-Como-8-Dicembre-2024-Serie-A
15;Dom;08-12-2024;20:45;Napoli;0.5;0–1;0.3;Lazio;50.000;Stadio Diego Armando Maradona;Andrea Colombo;https://fbref.com/it/partite/aea55efb/Napoli-Lazio-8-Dicembre-2024-Serie-A
15;Lun;09-12-2024;20:45;Monza;1.3;1–2;1.2;Udinese;9.317;U-Power Stadium;Gianluca Manganiello;https://fbref.com/it/partite/fbe80ac9/Monza-Udinese-9-Dicembre-2024-Serie-A
16;Ven;13-12-2024;20:45;Empoli;0.6;0–1;1.0;Torino;7.832;Stadio Carlo Castellani - Computer Gross...;Kevin Bonacina;https://fbref.com/it/partite/33b426d2/Empoli-Torino-13-Dicembre-2024-Serie-A
16;Sab;14-12-2024;15:00;Cagliari;1.4;0–1;1.5;Atalanta;15.985;Unipol Domus;Luca Pairetto;https://fbref.com/it/partite/69244b8a/Cagliari-Atalanta-14-Dicembre-2024-Serie-A
16;Sab;14-12-2024;18:00;Udinese;1.4;1–3;2.2;Napoli;19.981;Bluenergy Stadium;Daniele Doveri;https://fbref.com/it/partite/700e4d44/Udinese-Napoli-14-Dicembre-2024-Serie-A
16;Sab;14-12-2024;20:45;Juventus;2.1;2–2;0.4;Venezia;38.425;Allianz Stadium;Antonio Giua;https://fbref.com/it/partite/6eb424b7/Juventus-Venezia-14-Dicembre-2024-Serie-A
16;Dom;15-12-2024;12:30;Lecce;1.5;2–1;0.6;Monza;23.663;Stadio Comunale Ettore Giardiniero;Maurizio Mariani;https://fbref.com/it/partite/4bd3b181/Lecce-Monza-15-Dicembre-2024-Serie-A
16;Dom;15-12-2024;15:00;Bologna;1.2;1–0;1.0;Fiorentina;26.000;Stadio Renato Dall'Ara;Michael Fabbri;https://fbref.com/it/partite/a4be7984/Derby-dellAppennino-Bologna-Fiorentina-15-Dicembre-2024-Serie-A
16;Dom;15-12-2024;15:00;Parma;1.9;2–3;2.6;Hellas Verona;17.003;Stadio Ennio Tardini;Simone Sozza;https://fbref.com/it/partite/c31235f0/Parma-Hellas-Verona-15-Dicembre-2024-Serie-A
16;Dom;15-12-2024;18:00;Como;1.2;2–0;0.3;Roma;13.602;Stadio Giuseppe Sinigaglia;Antonio Rapuano;https://fbref.com/it/partite/27c53562/Como-Roma-15-Dicembre-2024-Serie-A
16;Dom;15-12-2024;20:45;Milan;1.1;0–0;0.3;Genoa;70.078;Stadio Giuseppe Meazza;Marco Guida;https://fbref.com/it/partite/715aa683/Milan-Genoa-15-Dicembre-2024-Serie-A
16;Lun;16-12-2024;20:45;Lazio;0.4;0–6;2.0;Inter;59.000;Stadio Olimpico;Daniele Chiffi;https://fbref.com/it/partite/180750a4/Lazio-Internazionale-16-Dicembre-2024-Serie-A
17;Ven;20-12-2024;20:45;Hellas Verona;0.7;0–1;0.8;Milan;24.000;Stadio Marc'Antonio Bentegodi;Livio Marinelli;https://fbref.com/it/partite/95273d30/Hellas-Verona-Milan-20-Dicembre-2024-Serie-A
17;Sab;21-12-2024;15:00;Torino;0.3;0–2;1.7;Bologna;19.860;Stadio Olimpico Grande Torino;Marco Piccinini;https://fbref.com/it/partite/b6364093/Torino-Bologna-21-Dicembre-2024-Serie-A
17;Sab;21-12-2024;18:00;Genoa;1.0;1–2;1.2;Napoli;33.435;Stadio Comunale Luigi Ferraris;Federico La Penna;https://fbref.com/it/partite/f40ec8ec/Genoa-Napoli-21-Dicembre-2024-Serie-A
17;Sab;21-12-2024;20:45;Lecce;0.7;1–2;1.6;Lazio;30.000;Stadio Comunale Ettore Giardiniero;Gianluca Manganiello;https://fbref.com/it/partite/e9e5a4d3/Lecce-Lazio-21-Dicembre-2024-Serie-A
17;Dom;22-12-2024;12:30;Roma;5.4;5–0;0.4;Parma;62.968;Stadio Olimpico;Marco Di Bello;https://fbref.com/it/partite/ee646ed8/Roma-Parma-22-Dicembre-2024-Serie-A
17;Dom;22-12-2024;15:00;Venezia;1.5;2–1;2.1;Cagliari;9.713;Stadio Pier Luigi Penzo;Marco Guida;https://fbref.com/it/partite/e97ff3c8/Venezia-Cagliari-22-Dicembre-2024-Serie-A
17;Dom;22-12-2024;18:00;Atalanta;1.3;3–2;1.3;Empoli;22.163;Gewiss Stadium;Ermanno Feliciani;https://fbref.com/it/partite/8ea96d1a/Atalanta-Empoli-22-Dicembre-2024-Serie-A
17;Dom;22-12-2024;20:45;Monza;1.3;1–2;1.8;Juventus;15.479;U-Power Stadium;Davide Massa;https://fbref.com/it/partite/d259dc6c/Monza-Juventus-22-Dicembre-2024-Serie-A
17;Lun;23-12-2024;18:30;Fiorentina;2.1;1–2;0.9;Udinese;20.505;Stadio Artemio Franchi;Matteo Marcenaro;https://fbref.com/it/partite/bc6b88d2/Fiorentina-Udinese-23-Dicembre-2024-Serie-A
17;Lun;23-12-2024;20:45;Inter;1.6;2–0;0.3;Como;73.204;Stadio Giuseppe Meazza;Antonio Giua;https://fbref.com/it/partite/815f82e8/Internazionale-Como-23-Dicembre-2024-Serie-A
18;Sab;28-12-2024;15:00;Parma;1.4;2–1;2.2;Monza;17.499;Stadio Ennio Tardini;Federico La Penna;https://fbref.com/it/partite/45c4ef98/Parma-Monza-28-Dicembre-2024-Serie-A
18;Sab;28-12-2024;15:00;Empoli;1.3;1–2;1.8;Genoa;12.657;Stadio Carlo Castellani - Computer Gross...;Antonio Rapuano;https://fbref.com/it/partite/6d5e84f9/Empoli-Genoa-28-Dicembre-2024-Serie-A
18;Sab;28-12-2024;18:00;Cagliari;0.3;0–3;3.2;Inter;16.412;Unipol Domus;Daniele Doveri;https://fbref.com/it/partite/a4004016/Cagliari-Internazionale-28-Dicembre-2024-Serie-A
18;Sab;28-12-2024;20:45;Lazio;0.6;1–1;2.7;Atalanta;48.000;Stadio Olimpico;Davide Massa;https://fbref.com/it/partite/864b029d/Lazio-Atalanta-28-Dicembre-2024-Serie-A
18;Dom;29-12-2024;12:30;Udinese;0.7;2–2;0.6;Torino;23.082;Bluenergy Stadium;Francesco Fourneau;https://fbref.com/it/partite/eda442e1/Udinese-Torino-29-Dicembre-2024-Serie-A
18;Dom;29-12-2024;15:00;Napoli;1.9;1–0;0.2;Venezia;51.199;Stadio Diego Armando Maradona;Francesco Cosso;https://fbref.com/it/partite/84d5d1b8/Napoli-Venezia-29-Dicembre-2024-Serie-A
18;Dom;29-12-2024;18:00;Juventus;1.5;2–2;1.0;Fiorentina;41.188;Allianz Stadium;Maurizio Mariani;https://fbref.com/it/partite/866b53df/Juventus-Fiorentina-29-Dicembre-2024-Serie-A
18;Dom;29-12-2024;20:45;Milan;1.9;1–1;1.3;Roma;74.283;Stadio Giuseppe Meazza;Michael Fabbri;https://fbref.com/it/partite/3f619cbf/Milan-Roma-29-Dicembre-2024-Serie-A
18;Lun;30-12-2024;18:30;Como;2.0;2–0;0.4;Lecce;12.000;Stadio Giuseppe Sinigaglia;Marco Piccinini;https://fbref.com/it/partite/e75996b8/Como-Lecce-30-Dicembre-2024-Serie-A
18;Lun;30-12-2024;20:45;Bologna;2.2;2–3;0.8;Hellas Verona;26.454;Stadio Renato Dall'Ara;Giovanni Ayroldi;https://fbref.com/it/partite/8607729b/Bologna-Hellas-Verona-30-Dicembre-2024-Serie-A
19;Sab;04-01-2025;15:00;Venezia;0.8;1–1;1.8;Empoli;10.591;Stadio Pier Luigi Penzo;Juan Luca Sacchi;https://fbref.com/it/partite/81fed71a/Venezia-Empoli-4-Gennaio-2025-Serie-A
19;Sab;04-01-2025;18:00;Fiorentina;1.0;0–3;1.6;Napoli;21.685;Stadio Artemio Franchi;Gianluca Manganiello;https://fbref.com/it/partite/b061fbf8/Fiorentina-Napoli-4-Gennaio-2025-Serie-A
19;Sab;04-01-2025;20:45;Hellas Verona;1.0;0–0;0.8;Udinese;23.663;Stadio Marc'Antonio Bentegodi;Federico Dionisi;https://fbref.com/it/partite/9a2501ce/Hellas-Verona-Udinese-4-Gennaio-2025-Serie-A
19;Dom;05-01-2025;12:30;Monza;1.4;1–2;0.8;Cagliari;10.982;U-Power Stadium;Marco Di Bello;https://fbref.com/it/partite/91f9e319/Monza-Cagliari-5-Gennaio-2025-Serie-A
19;Dom;05-01-2025;15:00;Lecce;0.6;0–0;1.1;Genoa;26.436;Stadio Comunale Ettore Giardiniero;Livio Marinelli;https://fbref.com/it/partite/02f898b8/Lecce-Genoa-5-Gennaio-2025-Serie-A
19;Dom;05-01-2025;18:00;Torino;1.1;0–0;0.4;Parma;19.744;Stadio Olimpico Grande Torino;Ermanno Feliciani;https://fbref.com/it/partite/cdeef583/Torino-Parma-5-Gennaio-2025-Serie-A
19;Dom;05-01-2025;20:45;Roma;1.1;2–0;0.9;Lazio;65.042;Stadio Olimpico;Luca Pairetto;https://fbref.com/it/partite/5e0b2192/Roma-Lazio-5-Gennaio-2025-Serie-A
20;Ven;10-01-2025;20:45;Lazio;0.5;1–1;2.0;Como;40.000;Stadio Olimpico;Paride Tremolada;https://fbref.com/it/partite/f8c231d6/Lazio-Como-10-Gennaio-2025-Serie-A
20;Sab;11-01-2025;15:00;Udinese;1.5;0–0;0.2;Atalanta;21.727;Bluenergy Stadium;Maurizio Mariani;https://fbref.com/it/partite/69cd8e7c/Udinese-Atalanta-11-Gennaio-2025-Serie-A
20;Sab;11-01-2025;15:00;Empoli;1.4;1–3;1.5;Lecce;9.096;Stadio Carlo Castellani - Computer Gross...;Daniele Chiffi;https://fbref.com/it/partite/fad008cb/Empoli-Lecce-11-Gennaio-2025-Serie-A
20;Sab;11-01-2025;18:00;Torino;0.6;1–1;0.9;Juventus;27.014;Stadio Olimpico Grande Torino;Michael Fabbri;https://fbref.com/it/partite/ccb3439a/Torino-Juventus-11-Gennaio-2025-Serie-A
20;Sab;11-01-2025;20:45;Milan;2.7;1–1;0.4;Cagliari;69.263;Stadio Giuseppe Meazza;Francesco Fourneau;https://fbref.com/it/partite/48765cf8/Milan-Cagliari-11-Gennaio-2025-Serie-A
20;Dom;12-01-2025;12:30;Genoa;1.2;1–0;0.4;Parma;31.689;Stadio Comunale Luigi Ferraris;Andrea Colombo;https://fbref.com/it/partite/ac1441eb/Genoa-Parma-12-Gennaio-2025-Serie-A
20;Dom;12-01-2025;15:00;Venezia;0.4;0–1;1.9;Inter;12.048;Stadio Pier Luigi Penzo;Marco Piccinini;https://fbref.com/it/partite/358fd054/Venezia-Internazionale-12-Gennaio-2025-Serie-A
20;Dom;12-01-2025;18:00;Bologna;2.0;2–2;1.4;Roma;30.226;Stadio Renato Dall'Ara;Rosario Abisso;https://fbref.com/it/partite/a5eda625/Bologna-Roma-12-Gennaio-2025-Serie-A
20;Dom;12-01-2025;20:45;Napoli;1.1;2–0;0.3;Hellas Verona;48.750;Stadio Diego Armando Maradona;Luca Zufferli;https://fbref.com/it/partite/340f5b84/Napoli-Hellas-Verona-12-Gennaio-2025-Serie-A
20;Lun;13-01-2025;20:45;Monza;0.7;2–1;1.4;Fiorentina;9.153;U-Power Stadium;Federico Dionisi;https://fbref.com/it/partite/d27a6eb4/Monza-Fiorentina-13-Gennaio-2025-Serie-A
19;Mar;14-01-2025;18:30;Como;1.4;1–2;1.3;Milan;13.602;Stadio Giuseppe Sinigaglia;Gianluca Manganiello;https://fbref.com/it/partite/c8bcd0d8/Como-Milan-14-Gennaio-2025-Serie-A
19;Mar;14-01-2025;20:45;Atalanta;1.4;1–1;1.5;Juventus;22.920;Gewiss Stadium;Daniele Doveri;https://fbref.com/it/partite/167a39df/Atalanta-Juventus-14-Gennaio-2025-Serie-A
19;Mer;15-01-2025;20:45;Inter;1.7;2–2;0.6;Bologna;63.074;Stadio Giuseppe Meazza;Luca Pairetto;https://fbref.com/it/partite/276006d8/Internazionale-Bologna-15-Gennaio-2025-Serie-A
21;Ven;17-01-2025;20:45;Roma;1.6;3–1;0.5;Genoa;62.217;Stadio Olimpico;Luca Zufferli;https://fbref.com/it/partite/00edb7b5/Roma-Genoa-17-Gennaio-2025-Serie-A
21;Sab;18-01-2025;15:00;Bologna;1.8;3–1;0.5;Monza;23.381;Stadio Renato Dall'Ara;Maurizio Mariani;https://fbref.com/it/partite/9f9010d6/Bologna-Monza-18-Gennaio-2025-Serie-A
21;Sab;18-01-2025;18:00;Juventus;1.1;2–0;0.9;Milan;41.507;Allianz Stadium;Davide Massa;https://fbref.com/it/partite/4ba45ccb/Juventus-Milan-18-Gennaio-2025-Serie-A
21;Sab;18-01-2025;20:45;Atalanta;0.7;2–3;0.8;Napoli;22.874;Gewiss Stadium;Andrea Colombo;https://fbref.com/it/partite/c60e5b0e/Atalanta-Napoli-18-Gennaio-2025-Serie-A
21;Dom;19-01-2025;12:30;Fiorentina;1.5;1–1;0.4;Torino;19.313;Stadio Artemio Franchi;Livio Marinelli;https://fbref.com/it/partite/15a113e1/Fiorentina-Torino-19-Gennaio-2025-Serie-A
21;Dom;19-01-2025;15:00;Cagliari;2.6;4–1;0.4;Lecce;16.306;Unipol Domus;Juan Luca Sacchi;https://fbref.com/it/partite/25c00123/Cagliari-Lecce-19-Gennaio-2025-Serie-A
21;Dom;19-01-2025;15:00;Parma;1.6;1–1;1.1;Venezia;15.865;Stadio Ennio Tardini;Francesco Fourneau;https://fbref.com/it/partite/fa8b77b9/Parma-Venezia-19-Gennaio-2025-Serie-A
21;Dom;19-01-2025;18:00;Hellas Verona;1.3;0–3;1.5;Lazio;37.000;Stadio Marc'Antonio Bentegodi;Michael Fabbri;https://fbref.com/it/partite/a125644d/Hellas-Verona-Lazio-19-Gennaio-2025-Serie-A
21;Dom;19-01-2025;20:45;Inter;2.1;3–1;0.4;Empoli;61.230;Stadio Giuseppe Meazza;Ermanno Feliciani;https://fbref.com/it/partite/94972e08/Internazionale-Empoli-19-Gennaio-2025-Serie-A
21;Lun;20-01-2025;20:45;Como;1.4;4–1;0.6;Udinese;9.566;Stadio Giuseppe Sinigaglia;Francesco Cosso;https://fbref.com/it/partite/0e2d0788/Como-Udinese-20-Gennaio-2025-Serie-A
22;Ven;24-01-2025;20:45;Torino;1.5;2–0;0.3;Cagliari;;Stadio Olimpico Grande Torino;Kevin Bonacina;https://fbref.com/it/partite/ef7d0127/Torino-Cagliari-24-Gennaio-2025-Serie-A
22;Sab;25-01-2025;15:00;Como;0.8;1–2;1.0;Atalanta;;Stadio Giuseppe Sinigaglia;Luca Pairetto;https://fbref.com/it/partite/b003f7e9/Como-Atalanta-25-Gennaio-2025-Serie-A
22;Sab;25-01-2025;18:00;Napoli;2.3;2–1;0.8;Juventus;;Stadio Diego Armando Maradona;Daniele Chiffi;https://fbref.com/it/partite/8e264909/Napoli-Juventus-25-Gennaio-2025-Serie-A
22;Sab;25-01-2025;20:45;Empoli;0.6;1–1;0.7;Bologna;;Stadio Carlo Castellani - Computer Gross...;Federico La Penna;https://fbref.com/it/partite/23c955ea/Empoli-Bologna-25-Gennaio-2025-Serie-A
22;Dom;26-01-2025;12:30;Milan;2.2;3–2;1.6;Parma;;Stadio Giuseppe Meazza;Rosario Abisso;https://fbref.com/it/partite/212a47ce/Milan-Parma-26-Gennaio-2025-Serie-A
22;Dom;26-01-2025;15:00;Udinese;0.8;1–2;2.7;Roma;;Bluenergy Stadium;Simone Sozza;https://fbref.com/it/partite/bab3336a/Udinese-Roma-26-Gennaio-2025-Serie-A
22;Dom;26-01-2025;18:00;Lecce;0.9;0–4;2.1;Inter;;Stadio Comunale Ettore Giardiniero;Livio Marinelli;https://fbref.com/it/partite/c93d7be3/Lecce-Internazionale-26-Gennaio-2025-Serie-A
22;Dom;26-01-2025;20:45;Lazio;1.4;1–2;0.7;Fiorentina;;Stadio Olimpico;Antonio Rapuano;https://fbref.com/it/partite/5f421e14/Lazio-Fiorentina-26-Gennaio-2025-Serie-A
22;Lun;27-01-2025;18:30;Venezia;0.6;1–1;1.6;Hellas Verona;;Stadio Pier Luigi Penzo;Gianluca Manganiello;https://fbref.com/it/partite/172aa746/Venezia-Hellas-Verona-27-Gennaio-2025-Serie-A
22;Lun;27-01-2025;20:45;Genoa;2.6;2–0;0.4;Monza;;Stadio Comunale Luigi Ferraris;Daniele Doveri;https://fbref.com/it/partite/3cf963e6/Genoa-Monza-27-Gennaio-2025-Serie-A
23;Ven;31-01-2025;20:45;Parma;1.9;1–3;0.7;Lecce;18.238;Stadio Ennio Tardini;Simone Sozza;https://fbref.com/it/partite/be735978/Parma-Lecce-31-Gennaio-2025-Serie-A
23;Sab;01-02-2025;15:00;Udinese;0.6;3–2;1.2;Venezia;;Bluenergy Stadium;Maurizio Mariani;https://fbref.com/it/partite/55a39dc2/Udinese-Venezia-1-Febbraio-2025-Serie-A
23;Sab;01-02-2025;15:00;Monza;0.4;0–1;0.9;Hellas Verona;;U-Power Stadium;Davide Massa;https://fbref.com/it/partite/95dc31fb/Monza-Hellas-Verona-1-Febbraio-2025-Serie-A
23;Sab;01-02-2025;18:00;Atalanta;2.9;1–1;0.6;Torino;;Gewiss Stadium;Marco Piccinini;https://fbref.com/it/partite/5ce2b496/Atalanta-Torino-1-Febbraio-2025-Serie-A
23;Sab;01-02-2025;20:45;Bologna;1.5;2–0;0.5;Como;;Stadio Renato Dall'Ara;Luca Massimi;https://fbref.com/it/partite/313b466d/Bologna-Como-1-Febbraio-2025-Serie-A
23;Dom;02-02-2025;12:30;Juventus;1.8;4–1;0.8;Empoli;;Allianz Stadium;Luca Zufferli;https://fbref.com/it/partite/448d4707/Juventus-Empoli-2-Febbraio-2025-Serie-A
23;Dom;02-02-2025;15:00;Fiorentina;0.7;2–1;1.6;Genoa;;Stadio Artemio Franchi;Giuseppe Collu;https://fbref.com/it/partite/d04f2be7/Fiorentina-Genoa-2-Febbraio-2025-Serie-A
23;Dom;02-02-2025;18:00;Milan;0.6;1–1;1.3;Inter;;Stadio Giuseppe Meazza;Daniele Chiffi;https://fbref.com/it/partite/c14ebb74/Derby-della-Madonnina-Milan-Internazionale-2-Febbraio-2025-Serie-A
23;Dom;02-02-2025;20:45;Roma;0.5;1–1;0.4;Napoli;;Stadio Olimpico;Michael Fabbri;https://fbref.com/it/partite/bc8eb4c8/Derby-del-Sole-Roma-Napoli-2-Febbraio-2025-Serie-A
23;Lun;03-02-2025;20:45;Cagliari;1.6;1–2;1.5;Lazio;;Unipol Domus;Gianluca Manganiello;https://fbref.com/it/partite/4b57b989/Cagliari-Lazio-3-Febbraio-2025-Serie-A
14;Gio;06-02-2025;20:45;Fiorentina;1.0;3–0;0.4;Inter;;Stadio Artemio Franchi;Daniele Doveri;https://fbref.com/it/partite/f7e35659/Fiorentina-Internazionale-6-Febbraio-2025-Serie-A
24;Ven;07-02-2025;20:45;Como;0.9;1–2;1.1;Juventus;;Stadio Giuseppe Sinigaglia;Rosario Abisso;https://fbref.com/it/partite/3278f598/Como-Juventus-7-Febbraio-2025-Serie-A
24;Sab;08-02-2025;15:00;Hellas Verona;1.6;0–5;2.2;Atalanta;;Stadio Marc'Antonio Bentegodi;Simone Sozza;https://fbref.com/it/partite/d1303859/Hellas-Verona-Atalanta-8-Febbraio-2025-Serie-A
24;Sab;08-02-2025;18:00;Empoli;0.7;0–2;1.3;Milan;;Stadio Carlo Castellani - Computer Gross...;Luca Pairetto;https://fbref.com/it/partite/3af8a61d/Empoli-Milan-8-Febbraio-2025-Serie-A
24;Sab;08-02-2025;20:45;Torino;0.7;1–1;0.3;Genoa;;Stadio Olimpico Grande Torino;Ermanno Feliciani;https://fbref.com/it/partite/094512d6/Torino-Genoa-8-Febbraio-2025-Serie-A
24;Dom;09-02-2025;12:30;Venezia;0.7;0–1;1.6;Roma;;Stadio Pier Luigi Penzo;Luca Zufferli;https://fbref.com/it/partite/99a32fd5/Venezia-Roma-9-Febbraio-2025-Serie-A
24;Dom;09-02-2025;15:00;Cagliari;1.2;2–1;0.8;Parma;;Unipol Domus;Marco Di Bello;https://fbref.com/it/partite/23f6ed48/Cagliari-Parma-9-Febbraio-2025-Serie-A
24;Dom;09-02-2025;15:00;Lazio;3.2;5–1;0.9;Monza;31.540;Stadio Olimpico;Gianluca Aureliano;https://fbref.com/it/partite/a8e48bad/Lazio-Monza-9-Febbraio-2025-Serie-A
24;Dom;09-02-2025;18:00;Lecce;0.4;0–0;0.8;Bologna;;Stadio Comunale Ettore Giardiniero;Francesco Fourneau;https://fbref.com/it/partite/2b41c316/Lecce-Bologna-9-Febbraio-2025-Serie-A
24;Dom;09-02-2025;20:45;Napoli;1.1;1–1;0.8;Udinese;;Stadio Diego Armando Maradona;Livio Marinelli;https://fbref.com/it/partite/2d512f04/Napoli-Udinese-9-Febbraio-2025-Serie-A
24;Lun;10-02-2025;20:45;Inter;2.2;2–1;0.9;Fiorentina;;Stadio Giuseppe Meazza;Federico La Penna;https://fbref.com/it/partite/ccfbf3d4/Internazionale-Fiorentina-10-Febbraio-2025-Serie-A
25;Ven;14-02-2025;20:45;Bologna;2.3;3–2;1.0;Torino;;Stadio Renato Dall'Ara;Michael Fabbri;https://fbref.com/it/partite/a88cd10b/Bologna-Torino-14-Febbraio-2025-Serie-A
25;Sab;15-02-2025;15:00;Atalanta;0.4;0–0;0.2;Cagliari;;Gewiss Stadium;Matteo Marchetti;https://fbref.com/it/partite/aad0599d/Atalanta-Cagliari-15-Febbraio-2025-Serie-A
25;Sab;15-02-2025;18:00;Lazio;0.7;2–2;0.3;Napoli;;Stadio Olimpico;Davide Massa;https://fbref.com/it/partite/95099d4b/Lazio-Napoli-15-Febbraio-2025-Serie-A
25;Sab;15-02-2025;20:45;Milan;2.1;1–0;0.4;Hellas Verona;;Stadio Giuseppe Meazza;Francesco Fourneau;https://fbref.com/it/partite/70955f6e/Milan-Hellas-Verona-15-Febbraio-2025-Serie-A
25;Dom;16-02-2025;12:30;Fiorentina;0.3;0–2;0.8;Como;;Stadio Artemio Franchi;Marco Piccinini;https://fbref.com/it/partite/02aa80e2/Fiorentina-Como-16-Febbraio-2025-Serie-A
25;Dom;16-02-2025;15:00;Udinese;2.3;3–0;2.1;Empoli;;Bluenergy Stadium;Daniele Doveri;https://fbref.com/it/partite/1fbf8daa/Udinese-Empoli-16-Febbraio-2025-Serie-A
25;Dom;16-02-2025;15:00;Monza;0.2;0–0;0.9;Lecce;;U-Power Stadium;Giuseppe Collu;https://fbref.com/it/partite/eccedcc2/Monza-Lecce-16-Febbraio-2025-Serie-A
25;Dom;16-02-2025;18:00;Parma;0.2;0–1;1.1;Roma;;Stadio Ennio Tardini;Daniele Chiffi;https://fbref.com/it/partite/375b1b94/Parma-Roma-16-Febbraio-2025-Serie-A
25;Dom;16-02-2025;20:45;Juventus;1.3;1–0;1.8;Inter;;Allianz Stadium;Maurizio Mariani;https://fbref.com/it/partite/1937abc6/Derby-dItalia-Juventus-Internazionale-16-Febbraio-2025-Serie-A
25;Lun;17-02-2025;20:45;Genoa;1.5;2–0;0.5;Venezia;;Stadio Comunale Luigi Ferraris;Livio Marinelli;https://fbref.com/it/partite/696a318f/Genoa-Venezia-17-Febbraio-2025-Serie-A
26;Ven;21-02-2025;20:45;Lecce;0.4;0–1;1.6;Udinese;;Stadio Comunale Ettore Giardiniero;Kevin Bonacina;https://fbref.com/it/partite/9ec509fe/Lecce-Udinese-21-Febbraio-2025-Serie-A
26;Sab;22-02-2025;15:00;Venezia;0.8;0–0;1.1;Lazio;8.796;Stadio Pier Luigi Penzo;Matteo Marchetti;https://fbref.com/it/partite/48f3bc32/Venezia-Lazio-22-Febbraio-2025-Serie-A
26;Sab;22-02-2025;15:00;Parma;1.1;2–0;0.7;Bologna;19.510;Stadio Ennio Tardini;Rosario Abisso;https://fbref.com/it/partite/ebb1f74f/Parma-Bologna-22-Febbraio-2025-Serie-A
26;Sab;22-02-2025;18:00;Torino;0.3;2–1;2.4;Milan;;Stadio Olimpico Grande Torino;Simone Sozza;https://fbref.com/it/partite/e6575a92/Torino-Milan-22-Febbraio-2025-Serie-A
26;Sab;22-02-2025;20:45;Inter;1.5;1–0;1.3;Genoa;;Stadio Giuseppe Meazza;Marco Piccinini;https://fbref.com/it/partite/d32f9068/Internazionale-Genoa-22-Febbraio-2025-Serie-A
26;Dom;23-02-2025;12:30;Como;0.7;2–1;1.2;Napoli;;Stadio Giuseppe Sinigaglia;Gianluca Manganiello;https://fbref.com/it/partite/f232cc45/Como-Napoli-23-Febbraio-2025-Serie-A
26;Dom;23-02-2025;15:00;Hellas Verona;1.2;1–0;1.4;Fiorentina;;Stadio Marc'Antonio Bentegodi;Marco Di Bello;https://fbref.com/it/partite/e156f514/Hellas-Verona-Fiorentina-23-Febbraio-2025-Serie-A
26;Dom;23-02-2025;18:00;Empoli;0.9;0–5;2.1;Atalanta;;Stadio Carlo Castellani - Computer Gross...;Maurizio Mariani;https://fbref.com/it/partite/89964eba/Empoli-Atalanta-23-Febbraio-2025-Serie-A
26;Dom;23-02-2025;20:45;Cagliari;0.3;0–1;2.1;Juventus;;Unipol Domus;Andrea Colombo;https://fbref.com/it/partite/e87e1d99/Cagliari-Juventus-23-Febbraio-2025-Serie-A
26;Lun;24-02-2025;20:45;Roma;1.5;4–0;0.3;Monza;;Stadio Olimpico;Fabio Maresca;https://fbref.com/it/partite/e00a9736/Roma-Monza-24-Febbraio-2025-Serie-A
9;Gio;27-02-2025;20:45;Bologna;2.0;2–1;0.8;Milan;;Stadio Renato Dall'Ara;Maurizio Mariani;https://fbref.com/it/partite/5f718bc4/Bologna-Milan-27-Febbraio-2025-Serie-A
27;Ven;28-02-2025;20:45;Fiorentina;1.6;1–0;0.9;Lecce;;Stadio Artemio Franchi;Livio Marinelli;https://fbref.com/it/partite/d99d1615/Fiorentina-Lecce-28-Febbraio-2025-Serie-A
27;Sab;01-03-2025;15:00;Atalanta;1.9;0–0;0.8;Venezia;;Gewiss Stadium;Giuseppe Collu;https://fbref.com/it/partite/af143178/Atalanta-Venezia-1-Marzo-2025-Serie-A
27;Sab;01-03-2025;18:00;Napoli;1.8;1–1;0.3;Inter;;Stadio Diego Armando Maradona;Daniele Doveri;https://fbref.com/it/partite/74de313e/Napoli-Internazionale-1-Marzo-2025-Serie-A
