Giornata;Giorno della Settimana;Data;Ora Inizio;Squadra di Casa;xG Casa;Risultato;xG Trasferta;Squadra Trasferta;Spettatori;Stadio;Arbitro;Link Report
7;Sab;05-10-2024;15:00;Udinese;0.9;1–0;0.5;Lecce;21.441;Bluenergy Stadium;Maurizio Mariani;https://fbref.com/it/partite/e86c2b7c/Udinese-Lecce-5-Ottobre-2024-Serie-A
7;Sab;05-10-2024;18:00;Atalanta;3.6;5–1;0.7;Genoa;23.138;Gewiss Stadium;Daniele Chiffi;https://fbref.com/it/partite/b1035fb5/Atalanta-Genoa-5-Ottobre-2024-Serie-A
7;Sab;05-10-2024;20:45;Inter;2.4;3–2;1.6;Torino;73.348;Stadio Giuseppe Meazza;Matteo Marcenaro;https://fbref.com/it/partite/282abdf2/Internazionale-Torino-5-Ottobre-2024-Serie-A
7;Dom;06-10-2024;12:30;Juventus;2.4;1–1;1.1;Cagliari;40.557;Allianz Stadium;Livio Marinelli;https://fbref.com/it/partite/3f957426/Juventus-Cagliari-6-Ottobre-2024-Serie-A
7;Dom;06-10-2024;15:00;Bologna;0.8;0–0;0.8;Parma;28.400;Stadio Renato Dall'Ara;Marco Di Bello;https://fbref.com/it/partite/0ca23022/Bologna-Parma-6-Ottobre-2024-Serie-A
7;Dom;06-10-2024;15:00;Lazio;2.1;2–1;0.5;Empoli;38.000;Stadio Olimpico;Giovanni Ayroldi;https://fbref.com/it/partite/6b642876/Lazio-Empoli-6-Ottobre-2024-Serie-A
7;Dom;06-10-2024;18:00;Monza;1.1;1–1;1.1;Roma;12.021;U-Power Stadium;Federico La Penna;https://fbref.com/it/partite/d19770cf/Monza-Roma-6-Ottobre-2024-Serie-A
7;Dom;06-10-2024;20:45;Fiorentina;1.5;2–1;2.6;Milan;21.923;Stadio Artemio Franchi;Luca Pairetto;https://fbref.com/it/partite/7b49f33b/Fiorentina-Milan-6-Ottobre-2024-Serie-A
8;Sab;19-10-2024;15:00;Como;1.3;1–1;0.5;Parma;7.000;Stadio Giuseppe Sinigaglia;Michael Fabbri;https://fbref.com/it/partite/0e383c84/Como-Parma-19-Ottobre-2024-Serie-A
8;Sab;19-10-2024;15:00;Genoa;0.4;2–2;0.7;Bologna;30.000;Stadio Comunale Luigi Ferraris;Daniele Doveri;https://fbref.com/it/partite/b69fbc8e/Genoa-Bologna-19-Ottobre-2024-Serie-A
8;Sab;19-10-2024;18:00;Milan;1.2;1–0;0.4;Udinese;71.214;Stadio Giuseppe Meazza;Daniele Chiffi;https://fbref.com/it/partite/c9b4f966/Milan-Udinese-19-Ottobre-2024-Serie-A
8;Sab;19-10-2024;20:45;Juventus;1.3;1–0;0.1;Lazio;40.800;Allianz Stadium;Juan Luca Sacchi;https://fbref.com/it/partite/2a7043fd/Juventus-Lazio-19-Ottobre-2024-Serie-A
8;Dom;20-10-2024;12:30;Empoli;0.7;0–1;1.3;Napoli;12.000;Stadio Carlo Castellani - Computer Gross...;Rosario Abisso;https://fbref.com/it/partite/e486a986/Empoli-Napoli-20-Ottobre-2024-Serie-A
8;Dom;20-10-2024;15:00;Lecce;0.2;0–6;2.2;Fiorentina;25.124;Stadio Comunale Ettore Giardiniero;Francesco Fourneau;https://fbref.com/it/partite/015e4919/Lecce-Fiorentina-20-Ottobre-2024-Serie-A
8;Dom;20-10-2024;15:00;Venezia;0.8;0–2;1.4;Atalanta;11.979;Stadio Pier Luigi Penzo;Luca Zufferli;https://fbref.com/it/partite/2ec189f4/Venezia-Atalanta-20-Ottobre-2024-Serie-A
8;Dom;20-10-2024;18:00;Cagliari;1.6;3–2;1.4;Torino;16.000;Unipol Domus;Gianluca Aureliano;https://fbref.com/it/partite/1d1a4e0d/Cagliari-Torino-20-Ottobre-2024-Serie-A
