Giocatore;Posizione
Manuel Locatelli;Cen (CC-CD)
Ruben Loftus-Cheek;Cen (TRQ-CE)
Ademola Lookman;Att-Cen (TRQ)
Sandi Lovrić;Cen (CC)
Lorenzo Lucca;Att
Jhon Lucumí;Dif (DC, left)
José Luis Palomino;Dif (DC)
Douglas Luiz;Cen (CC-CD)
Romelu Lukaku;Att
Sebastiano Luperto;Dif (DC, left)
Zito Luvumbo;Att-Cen
Charalambos Lykogiannis;Dif-Cen (T-CE, left)
Mathias Løvik;Cen
Giangiacomo Magnani;Dif (DC)
Mike Maignan;Por
Antoine Makoumbou;Cen (CC-CD)
Daniel Maldini;Cen
Daniel Maldini;Cen
Youssef Maleh;Cen (CC-CD-CE, left)
Ruslan Malinovskyi;Att-Cen (TRQ-CC-CD)
Dennis Man;Att-Cen (TRQ, right)
Gianluca Mancini;Dif (DC, right)
Christos Mandas;Por
Rolando Mandragora;Cen (CC-CD)
Alberto Manzoni;Cen
Alessandro Marcandalli;Dif
Alessandro Marcandalli;Dif
Filip Marchwiński;Cen
Pablo Marí;Dif (DC)
Pablo Marí;Dif (DC)
Luca Marianucci;Dif
Mirko Marić;Att
Mirko Marić;Att
Rafa Marín;Dif
Răzvan Marin;Cen (CC-CD)
Guillermo Maripán;Dif (DC)
Aarón Martín;Dif-Cen (T-CE, left)
Josep Martinez;Por
Lautaro Martínez;Att
Lucas Martínez Quarta;Dif-Cen (DC)
Kevin Martins;Att
Adam Marušić;
Adam Masina;Dif (T, left)
Patrizio Masini;Cen
Alan Matturro;Dif
Luca Mazzitelli;Dif-Cen (CC-CD-CE)
Pasquale Mazzocchi;Dif-Cen (T, right)
Samuel Mbangula;Att
Weston McKennie;Dif-Cen (CC-CE)
Scott McTominay;Cen (CC-CD)
Filippo Melegoni;Cen
Alex Meret;Por
Junior Messias;Att-Cen
Valentin Mihaila;
Vanja Milinković-Savić;Por
Yerry Mina;Dif (DC)
Juan Miranda;Dif (T, left)
Fabio Miretti;Cen
Henrikh Mkhitaryan;Att-Cen (TRQ-CC)
Rui Modesto;Cen
Lorenzo Montipò;Por
Álvaro Morata;Att
Alberto Moreno;Dif-Cen (T, left)
Matias Moreno;Dif
Tete Morente;Att-Cen (TRQ-CE)
Nikola Moro;Cen (CC)
Daniel Mosquera;Att
Dany Mota;Att-Cen
Bob Murphy Omoregbe;Att
Yunus Musah;Cen (CC-CE)
Juan Musso;Por
Kingstone Mutandwa;Att
Obite N'Dicka;Dif (DC, left)
Konan N'dri;Att-Cen
Michel Ndary Adopo;Cen
Cher Ndour;Cen
Dan Ndoye;Att-Cen (TRQ)
Victor Nelsson;Dif-Cen (DC)
David Neres;Att-Cen (TRQ)
Cyril Ngonge;Att-Cen
Cheikh Niasse;Cen
Hans Nicolussi Caviglia;Cen (CC)
Eybi Nije;Att
Brooke Norton-Cuffy;Dif-Cen
Tijjani Noslin;Att-Cen
Adam Obert;Dif
Jens Odgaard;Att-Cen
Noah Okafor;Att-Cen
Noah Okafor;Att-Cen
Yllan Okou;Dif
Maduka Okoye;Por
Mathías Olivera;Dif (T, left)
Jean Onana;Cen
Jacob Ondrejka;Cen
Gaetano Oristanio;Att-Cen
Riccardo Orsolini;Att-Cen (TRQ, right)
Yordan Osorio;Dif (DC, right)
Remi Oudin;Att-Cen (TRQ)
Cheick Oumar Conde;Cen
Daniel Oyegoke;Dif
Daniele Padelli;Por
Simone Pafundi;Att
Tiago Palacios;Dif
Tiago Palacios;Dif
Alberto Paleari;Por
Marco Palestra;Dif
Leandro Paredes;Cen (TRQ-CC-CD)
Fabiano Parisi;Dif (T, left)
Mario Pašalić;Att-Cen (TRQ-CC-CD)
Patric;Dif (DC-T, right)
Rui Patrício;Por
Benjamin Pavard;Dif (DC-T, right)
Strahinja Pavlović;Dif (DC, left)
Leonardo Pavoletti;Att
Martín Payero;Cen (CC, left)
Nicolás Paz;Cen
Marcus Pedersen;Dif (T, right)
Pedro;Att-Cen (TRQ-CE, right)
Pietro Pellegri;Att
Lorenzo Pellegrini;
Luca Pellegrini;Dif (T, left)
Mateo Pellegrino;Att
Andy Pelmard;Dif (DC)
Pedro Pereira;Dif-Cen (CE, right)
Gastón Pereiro;Att-Cen (TRQ)
Kike Pérez;Cen
Nehuén Pérez;Dif (DC)
Simone Perilli;Por
Mattia Perin;Por
Máximo Perrone;Cen
Matteo Pessina;Cen (TRQ-CC-CD)
Andrea Petagna;Att
Giuseppe Pezzella;Dif-Cen (T, left)
Roberto Piccoli;Att
Nicholas Pierini;Att
Santiago Pierotti;Att-Cen
Balthazar Pierret;Cen
Andrea Pinamonti;Att
Niccolò Pisilli;Cen
Semuel Pizzignacco;Por
Tommaso Pobega;Cen (CD-CE, left)
Joel Pohjanpalo;Att
Matteo Politano;Att-Cen (TRQ, right)
Marin Pongračić;
Stefan Posch;
Stefan Posch;
Matteo Prati;
Ivan Provedel;
Diego Pugno;
Christian Pulisic;
Ionuț Radu;
Hamza Rafia;Cen
Antonio Raimondo;Att
Ylber Ramadani;Cen (CC-CD)
Luca Ranieri;Dif (DC, left)
Giacomo Raspadori;Att-Cen
Federico Ravaglia;Por
Ante Rebić;Att-Cen (TRQ-CE)
Tijjani Reijnders;Cen (CC-CD)
Pepe Reina;Por
Devyne Rensch;Dif (T, right)
Mateo Retegui;Att
Samuele Ricci;Cen (CC-CD)
Amir Richardson;Cen (CC)
Sergi Roberto;Dif-Cen (TRQ-CC-T, right)
Alessio Romagnoli;Dif (DC-T, left)
Marten de Roon;Dif-Cen (CC-CD, right)
Jonas Rouhi;Dif
Nicolò Rovella;Cen (CC-CD)
Amir Rrahmani;Dif (DC, right)
Tommaso Rubino;Att
Matteo Ruggeri;Dif-Cen (CD, left)
Stefano Sabelli;Dif-Cen (T-CE, right)
Alexis Saelemaekers;Att-Cen (TRQ, right)
Alexis Saelemaekers;Att-Cen (TRQ, right)
Richie Sagrado;Cen
Marco Sala;Dif-Cen (T, left)
Marco Sala;Dif-Cen (T, left)
Anass Salah-Eddine;Dif
Lazar Samardzic;Cen (CC)
Junior Sambia;Dif-Cen
Antonio Sanabria;Att
Alexis Sánchez;Att-Cen (TRQ-CE)
Nicola Sansone;Att-Cen
Amin Sarr;Att
Razvan Sava;Por
Nicolò Savona;Dif
Saba Sazonov;Dif
Giorgio Scalvini;
Gianluca Scamacca;
Joël Schingtienne;
Simone Scuffet;
Jacopo Seghetti;
